100_20_01,1.8138286,2.3799325
100_20_02,1.838892,2.8800275
100_20_03,0.9842338,1.8396575
100_20_04,2.101972,2.536145
100_20_05,1.619432,2.52154
100_20_06,1.3938582,2.9253325
100_20_07,2.22486,1.7624675
100_20_08,1.290293,2.854525
100_20_09,2.59984,1.51327
100_20_10,1.70547,2.6238375
100_20_11,1.424557,2.949415
100_20_12,0.835914,2.109565
100_20_13,1.431446,2.8217775
100_20_14,1.507766,1.7909325
100_20_15,1.361006,2.8982125
100_20_16,1.4347582,2.8674975
100_20_17,1.468944,2.4963725
100_20_18,1.337858,2.3614775
100_20_19,1.59662,2.6116625
100_20_20,1.637818,3.21927
100_20_21,1.0886464,3.67869
100_20_22,1.8925234,2.8313325
100_20_23,1.944314,2.88396
100_20_24,1.3161618,3.1075825
100_20_25,1.2176702,2.89155
100_20_26,1.5669948,2.860405
100_20_27,1.254841,3.0097475
100_20_28,1.2526892,2.937305
100_20_29,1.387386,2.8694875
100_20_30,0.7311716,3.13954
